"b0","b_yravg","b_ba","b_fire","b_fire_ba","b_herb","b_herb_ba","b_herb_fire","b_fire_recov","b_herb_recov","Treatment.Act","BA","Recovery","low","med","high"
1,1,-1.42318259511503,0,0,0,0,0,0,0,"Control",43.9,NA,0.431967152773614,0.49039646419768,0.559345281839265
1,1,-1.41831669805743,0,0,0,0,0,0,0,"Control",44,NA,0.432015813714266,0.490308468322146,0.559107101787739
1,1,-1.41345080099982,0,0,0,0,0,0,0,"Control",44.1,NA,0.432063975853531,0.490219476549331,0.558902134889246
1,1,-1.40858490394222,0,0,0,0,0,0,0,"Control",44.2,NA,0.432112709704148,0.490119345285871,0.558726415939427
1,1,-1.40371900688462,0,0,0,0,0,0,0,"Control",44.3,NA,0.432114242307565,0.490029087116799,0.558409109409167
1,1,-1.39885310982702,0,0,0,0,0,0,0,"Control",44.4,NA,0.432135570753492,0.489938922014159,0.558151483572697
1,1,-1.39398721276942,0,0,0,0,0,0,0,"Control",44.5,NA,0.432189889643337,0.489844857665049,0.557884916046729
1,1,-1.38912131571181,0,0,0,0,0,0,0,"Control",44.6,NA,0.432187591525144,0.489756287094205,0.557604959932327
1,1,-1.38425541865421,0,0,0,0,0,0,0,"Control",44.7,NA,0.432185634735255,0.489667700434978,0.557398126484798
1,1,-1.37938952159661,0,0,0,0,0,0,0,"Control",44.8,NA,0.432183006127719,0.48957036130437,0.55720529904171
1,1,-1.37452362453901,0,0,0,0,0,0,0,"Control",44.9,NA,0.432180718847846,0.489481558135673,0.556977023837386
1,1,-1.3696577274814,0,0,0,0,0,0,0,"Control",45,NA,0.432177783790516,0.489396985617693,0.556703506373961
1,1,-1.3647918304238,0,0,0,0,0,0,0,"Control",45.1,NA,0.432187842389704,0.489306891658323,0.556490088301427
1,1,-1.3599259333662,0,0,0,0,0,0,0,"Control",45.2,NA,0.432195293896986,0.489215559344248,0.556254255798771
1,1,-1.3550600363086,0,0,0,0,0,0,0,"Control",45.3,NA,0.43219449452044,0.489136526604241,0.556036561630905
1,1,-1.350194139251,0,0,0,0,0,0,0,"Control",45.4,NA,0.432177162095227,0.489080123344276,0.555776816107375
1,1,-1.34532824219339,0,0,0,0,0,0,0,"Control",45.5,NA,0.432218684501516,0.488993883102497,0.555500869738319
1,1,-1.34046234513579,0,0,0,0,0,0,0,"Control",45.6,NA,0.432267048035343,0.488904567164483,0.555252339123322
