"Treatment.Act","BA","Recovery","low","med","high"
"Control",52.5,NA,13.4706870464554,14.2516397393187,15.0267131828981
"Control",52.6,NA,13.4725392833024,14.2519357350022,15.0253756918858
"Control",52.7,NA,13.4747099228967,14.2521887318623,15.0238997552065
"Control",52.8,NA,13.4767025371651,14.2524356775902,15.0234894347693
"Control",52.9,NA,13.4786204190137,14.2529027866589,15.0225922408318
"Control",53,NA,13.4801302889879,14.2533648702553,15.0216033324104
"Control",53.1,NA,13.4822882725018,14.2538445641541,15.0207912057101
"Control",53.2,NA,13.4841572828223,14.2542849984293,15.0195810962259
"Control",53.3,NA,13.485411706717,14.2547456796868,15.0182110548924
"Control",53.4,NA,13.4871165090201,14.2551976057683,15.0170916181683
"Control",53.5,NA,13.4885665461825,14.2556578183279,15.0169171604629
"Control",53.6,NA,13.4902385115185,14.2563123192314,15.0159876718056
"Control",53.7,NA,13.4922547100952,14.2567543394033,15.0151163292506
"Control",53.8,NA,13.4938974580767,14.2575630707317,15.0142031718281
"Control",53.9,NA,13.4952408904351,14.2580405113102,15.013453364668
"Control",54,NA,13.4967807964378,14.2586971535984,15.0126331323535
"Control",54.1,NA,13.4980021580105,14.2590679903749,15.0122181680001
"Control",54.2,NA,13.499932088826,14.2592161954527,15.0119959033484
"Control",54.3,NA,13.5018604458984,14.2597059732311,15.0114671765024
"Control",54.4,NA,13.5043172056343,14.2599485784398,15.0111264780405
"Control",54.5,NA,13.5067714270026,14.2604849278671,15.0107764894658
"Control",54.6,NA,13.5085174250477,14.2612626032437,15.0094516662999
"Control",54.7,NA,13.5101160285976,14.2618602230006,15.0094135336463
"Control",54.8,NA,13.5122867022698,14.2623597075546,15.0084593783104
"Control",54.9,NA,13.5138146615827,14.2627411495913,15.0071425064755
"Control",55,NA,13.515759764933,14.2631226687735,15.0059387491493
"Control",55.1,NA,13.5177610938432,14.2635638112016,15.0049606971156
"Control",55.2,NA,13.5197706637476,14.2640066474369,15.0045198564135
"Control",55.3,NA,13.5214709044401,14.2643766153643,15.0034503336409
"Control",55.4,NA,13.52331597029,14.2648724316323,15.0039075016334
"Control",55.5,NA,13.5253817872998,14.2650917637052,15.002712942844
"Control",55.6,NA,13.5269622916059,14.2655404685173,15.0008262753477
"Control",55.7,NA,13.5285776328977,14.2661507422524,15.0002539652995
"Control",55.8,NA,13.530607368393,14.2665850852058,14.9999059133528
"Control",55.9,NA,13.5323443773621,14.2670486503955,14.9987697852285
"Control",56,NA,13.534091483544,14.2676104094348,14.9982788605696
"Control",56.1,NA,13.5352046601803,14.268059191203,14.9978242798942
"Control",56.2,NA,13.5360516965756,14.2685442573753,14.9975397256453
"Control",56.3,NA,13.5377437347366,14.2687956131148,14.9967630946744
"Control",56.4,NA,13.5390822750731,14.2691059318727,14.9951480812063
"Control",56.5,NA,13.5411900532238,14.2696122386573,14.9950103020834
"Control",56.6,NA,13.5432293895641,14.2702256409513,14.9942456801194
"Control",56.7,NA,13.5454428748656,14.2706281868948,14.9935072725409
"Control",56.8,NA,13.5472867841838,14.2711961679636,14.9921596074528
"Control",56.9,NA,13.549210592805,14.2715148015187,14.9909106629104
"Control",57,NA,13.5512311190656,14.2718193731546,14.9909550024096
"Control",57.1,NA,13.5530298575041,14.2721454933782,14.9898065893461
"Control",57.2,NA,13.554982428204,14.272736575977,14.9893390913176
"Control",57.3,NA,13.5571989933223,14.273536462851,14.988599131755
"Control",57.4,NA,13.5587140255354,14.2738441763894,14.9887861624198
"Control",57.5,NA,13.5604757991146,14.2743455802172,14.9877227465903
"Control",57.6,NA,13.5615420757391,14.2747062476007,14.9863518533951
"Control",57.7,NA,13.563598255106,14.2749500533591,14.9859018882325
"Control",57.8,NA,13.5658408208033,14.2753871994625,14.9843271873464
"Control",57.9,NA,13.5676991158099,14.2759536567547,14.9838225392455
"Control",58,NA,13.5692722363412,14.276476958106,14.9827739191588
"Control",58.1,NA,13.5715736943802,14.2768839184474,14.982385268498
"Control",58.2,NA,13.5733401345278,14.2772117595813,14.9816963212506
"Control",58.3,NA,13.5746985251368,14.2775367843301,14.9811158141412
"Control",58.4,NA,13.5768689629694,14.2779818879613,14.9798400985627
"Control",58.5,NA,13.578818428119,14.278640898491,14.9790663481721
"Control",58.6,NA,13.5804040108487,14.2790239233817,14.9773014661628
"Control",58.7,NA,13.5825690253705,14.2794930264679,14.9760130203776
"Control",58.8,NA,13.5847397408396,14.2796623801587,14.9762581484347
"Control",58.9,NA,13.5854985311919,14.2798712564491,14.9748670896242
