"Treatment.Act","BA","Recovery","cp.requirements","low","med","high"
"Control",58.8,NA,6,513.271412337091,772.102633101021,1156.50855751142
"Control",58.9,NA,6,513.371703853672,771.66249808366,1154.42690115284
"Control",59,NA,6,513.585181319512,771.163719429148,1152.72456283228
"Control",59.1,NA,6,513.615001060299,770.701017370898,1151.08766737318
"Control",59.2,NA,6,513.671346764578,770.287525642869,1149.29467782408
"Control",59.3,NA,6,513.745044149517,769.733007367491,1147.82190921632
"Control",59.4,NA,6,513.924404511027,769.384955628057,1146.19770894786
"Control",59.5,NA,6,514.099410088201,768.80197360795,1144.57419603785
"Control",59.6,NA,6,514.364010865073,768.257566720248,1142.29173703298
"Control",59.7,NA,6,514.536495456206,767.776753161063,1140.56376141355
"Control",59.8,NA,6,514.79111299837,767.324242460323,1138.8612661914
"Control",59.9,NA,6,515.171715760414,766.88753568244,1137.44421078935
"Control",60,NA,6,515.483460124584,766.396764129642,1135.62746002486
"Control",60.1,NA,6,515.723162995474,765.961525718711,1133.78583356305
"Control",60.2,NA,6,515.807429997698,765.547741163946,1132.01627836869
"Control",60.3,NA,6,515.997561787746,765.134778330282,1131.11242691792
"Control",60.4,NA,6,515.915965590993,764.73730502272,1129.48429577952
"Control",60.5,NA,6,516.156162226865,764.207744899459,1127.45167744939
"Control",60.6,NA,6,516.488854087128,763.768753239291,1125.55855073251
"Control",60.7,NA,6,516.564589050023,763.298159815263,1123.80367253727
"Control",60.8,NA,6,516.695401750055,762.821960598529,1122.19225988658
"Control",60.9,NA,6,516.69285731501,762.476829530314,1120.65351828528
"Control",61,NA,6,516.970818283432,762.1224412764,1119.03981485679
"Control",61.1,NA,6,517.023803567695,761.61801178715,1117.75530380178
"Control",61.2,NA,6,517.404196269583,761.133410004898,1116.22350763075
"Control",61.3,NA,6,517.609547564387,760.759191922784,1114.56361344472
"Control",61.4,NA,6,517.90015288979,760.224362103447,1112.985430602
"Control",61.5,NA,6,518.162112229088,759.856769367288,1111.69102667109
"Control",61.6,NA,6,518.585670982391,759.356400658589,1109.99486015282
"Control",61.7,NA,6,518.764485674624,758.87181676197,1108.4230985023
"Control",61.8,NA,6,519.081142371153,758.451867506921,1106.95729181577
"Control",61.9,NA,6,519.42693613399,757.929026719485,1105.54047658791
"Control",62,NA,6,519.400071457952,757.447946482611,1103.56461756333
"Control",62.1,NA,6,519.560540372986,756.963098023148,1101.74798825856
"Control",62.2,NA,6,519.750189336733,756.499578539564,1100.46089827604
"Control",62.3,NA,6,519.851941504126,755.95816847501,1098.96411284148
"Control",62.4,NA,6,520.275493584222,755.596271013518,1097.38602205983
"Control",62.5,NA,6,520.393886447277,755.059190315711,1095.78108415776
"Control",62.6,NA,6,520.721819066149,754.695923849926,1094.18561788487
"Control",62.7,NA,6,520.642979625864,754.113392439907,1092.60810398979
"Control",62.8,NA,6,520.85177645626,753.661905575883,1091.00704965515
"Control",62.9,NA,6,520.97619702231,753.328156386711,1089.26239089347
"Control",63,NA,6,521.165108996372,752.910408974307,1087.68576096571
"Control",63.1,NA,6,521.300372396637,752.472988690944,1085.8650526455
"Control",63.2,NA,6,521.387863185071,751.935816582198,1084.24152927216
"Control",63.3,NA,6,521.680800752068,751.615264979371,1082.74247534839
"Control",63.4,NA,6,521.858495104335,751.231104983163,1081.04921490126
"Control",63.5,NA,6,521.828123027707,750.819832160444,1079.5590349306
"Control",63.6,NA,6,522.015133969802,750.458688876863,1078.25258199816
"Control",63.7,NA,6,522.379996307986,750.032254240533,1076.67349681312
"Control",63.8,NA,6,522.328948174663,749.653260715048,1075.05753053244
"Control",63.9,NA,6,522.400283005641,749.283899618129,1073.77168325856
"Control",64,NA,6,522.444545941484,748.785181255403,1072.29960169855
"Control",64.1,NA,6,522.849400352791,748.353797036638,1070.32524411333
"Control",64.2,NA,6,522.92672556487,747.957522334586,1069.21451568941
"Control",64.3,NA,6,523.127998440814,747.513755405039,1067.67432110708
"Control",64.4,NA,6,523.137017073931,747.130369844608,1066.05190596873
"Control",64.5,NA,6,523.545392085213,746.738717314756,1064.48712539509
"Control",64.6,NA,6,523.702826879947,746.29422876732,1062.96173004543
